Designator	Mid X	Mid Y	Layer	Rotation  
C1	142.23	-53.25	top	180
C2	145.48	-56.25	top	0
C3	139.35	-55.65	top	90
C4	145.5	-57.25	top	0
C5	138.23	-59	top	180
C6	138.23	-58.03	top	180
C7	138.23	-57.03	top	180
C8	134.4689	-72.75	top	30
C9	154.25	-60	top	90
C10	162.005	-71.73	top	90
C12	129.5	-77.02	top	90
C13	140.3394	-75	top	180
C14	130.75	-62.05	top	90
C15	125.25	-63.45	top	180
C16	128.75	-53.7	top	0
C17	159.2004	-56.1575	top	0
C18	126.5	-53.7	top	90
C19	128.25	-49.5	top	-90
C20	126.75	-49.475	top	-90
C21	130.6375	-49.3092	top	90
C22	135	-49.1792	top	90
C25	154.75	-72.75	top	-90
C26	156.4	-46.5482	top	90
C27	156.4	-49.0282	top	90
D1	134.55	-56.5	top	-90
D2	132.95	-56.5	top	-90
FL1	153	-47.75	top	0
J5	157.8	-63	top	90
J8	133.25	-79.25	top	0
J9	150.25	-79.25	top	180
J13	138.9725	-48.955	top	90
J14	145.9725	-48.955	top	90
L1	145	-54.735	top	-90
L2	124.625	-52.7	top	90
R1	148.05	-67.8	top	90
R2	134.25	-59	top	90
R3	133.25	-59	top	90
R4	135.25	-65.75	top	-90
R5	128	-51.95	top	180
R6	130.5	-51.95	top	180
R7	132.5	-52.44	top	90
R8	160.2704	-52.08	top	0
R11	154	-75.25	top	90
R12	128.1	-62.85	top	0
SWD	156.98	-72.25	top	90
U1	143	-63	top	-90
U2	126.9	-58.6	top	90
U3	151.9	-54.65	top	0
U4	133.1375	-49.3092	top	180
U6	148.5	-72.75	top	180
U7	127.595	-72.712	top	90
Y1	142	-55.5	top	0
