"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias";1;"LMR33630CDDA";;;
2;"L2";"L_1008_2520Metric";1;"1.5 uH";;;
3;"R5,R12";"R_0402_1005Metric";2;"100k";;;
4;"C2,C6,C25,C5,C9,C17,C10";"C_0402_1005Metric";7;"100nF";;;
5;"D1,D2";"LED_0603_1608Metric";2;"LED";;;
6;"J11";"SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm";1;"MOT_A";;;
7;"R7";"R_0402_1005Metric";1;"900";;;
8;"C13";"C_0402_1005Metric";1;"100nF, 50V";;;
9;"U6";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
10;"J1,J2,J12,J17,J6,J3,J7";"TestPoint_Pad_1.5x1.5mm";7;"TESTPOINT";;;
11;"C21";"C_0805_2012Metric";1;"1uF, X7R";;;
12;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"25 MHz";;;
13;"C15";"C_0805_2012Metric";1;"220nF, 50V";;;
14;"C8";"CP_Radial_D8.0mm_P3.50mm";1;"100uF, 80V";;;
15;"C7";"C_0402_1005Metric";1;"4.7uF";;;
16;"C20,C19";"C_0603_1608Metric";2;"22uF, 16V";;;
17;"U4";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias";1;"TLV76733DRVx";;;
18;"J9,J8";"AMASS_XT30UPB-M_1x02_P5.0mm_Vertical";2;"Power_In";;;
19;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TJA1051T-3";;;
20;"U7";"SOIC127P600X170-9N";1;"DRV8251DDAR";;;
21;"R11,R1";"R_0402_1005Metric";2;"10k";;;
22;"C27,C26";"C_0402_1005Metric";2;"100pF";;;
23;"SWD";"PinHeader_2x03_P1.27mm_Vertical";1;"Prog_IN";;;
24;"J13,J14";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"Control_In";;;
25;"J10";"SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm";1;"MOT_B";;;
26;"R4";"ERJB1_(1020)";1;"ERJ-B1CFR10U";;;
27;"R2,R3";"R_0402_1005Metric";2;"430";;;
28;"C22";"C_0402_1005Metric";1;"2.2uF, X7R";;;
29;"C4";"C_0402_1005Metric";1;"1uF";;;
30;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"Termination Jumper";;;
31;"C12";"C_0402_1005Metric";1;"100nF, X7R";;;
32;"L1";"L_0402_1005Metric";1;"27nH";;;
33;"R8";"C_0402_1005Metric";1;"120";;;
34;"J5";"Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal";1;"Conn_01x06_MountingPin";;;
35;"C18";"C_0402_1005Metric";1;"100nF, 16V";;;
36;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32G0B1CBTx";;;
37;"C14,C11";"C_0805_2012Metric";2;"10uF, 50V";;;
38;"C16";"C_0805_2012Metric";1;"1uF, 16V, X7R";;;
39;"C1,C3";"C_0402_1005Metric";2;"TBC";;;
40;"R6";"R_0603_1608Metric";1;"24k";;;
41;"FL1";"ACT1210D1012PTL00";1;"ACT1210D-101-2P-TL00";;;
